R0,rho,i0,n_sloppy,a_hi,a_lo,nll,rho_pass1,mean_count,drs_var,drs_geo,margin,margin_sd,margin_snr,drs_var_control,drs_geo_control,region,season,n_decades
1.15,434.2750866635445,4.7951597117653624e-05,3,1,0,58.394528956259684,580.6654350043199,20910.5,0.47648570663565704,0.006464056794759203,0.0011783341158487191,0.0006287288466317085,1.8741530982098453,0.05272861099303934,0.001356299494556585,nat,2018-2019,1.0
1.1500000010187472,872.0674903778475,3.0358053699616876e-05,3,1,0,59.78235553755006,872.0696827436144,26778.5,0.47657444327051984,0.006464428183268196,0.0014663905098806476,0.0003990968218219113,3.6742725817420667,0.051107126589931794,0.001291069969391949,nat,2019-2020,1.0
1.15,3015.5497716948025,6.168112006018033e-06,3,1,0,57.9994533986046,3394.0796623191322,18542.333333333332,0.47675676089270674,0.006467433489164235,0.001863870366470512,8.143740655653026e-05,22.887152787419566,0.04863079750456459,0.0011907533142404708,nat,2020-2021,1.0
1.15,5541.295772174811,7.07858508405796e-06,3,1,0,62.623452034042785,6172.002988515116,38962.166666666664,0.4767696887221262,0.0064667637498743435,0.0018488683277609783,9.344868764551771e-05,19.78485064203745,0.0486592088746541,0.0011923170187868406,nat,2021-2022,1.0
1.2035426928417203,726.0503558098185,4.744284422313266e-05,2,2,1,67.37485577144686,725.8074338630389,97519.83333333333,0.4350321749858642,0.001964948611293521,0.001746867041486428,0.0009861453276199376,1.771409337508593,0.042547783604429075,0.0006068704490973445,nat,2022-2023,1.0
1.15,5515.133670576995,1.2019878561988296e-05,3,1,0,65.30117098617247,6296.019715765637,66951.5,0.47672598260960486,0.006465739528171197,0.001767533992526452,0.00015852844578766084,11.149633012197418,0.049194359535698555,0.0012140510176157108,nat,2023-2024,1.0
1.1500000010736775,1508.611294602666,3.7633807621207815e-05,3,1,0,64.44048685213582,1508.6347714534693,56944.333333333336,0.47655039987721637,0.00646367282657641,0.0013471473638985163,0.0004942113442502575,2.7258527744687933,0.05173907761372273,0.00131684004957872,nat,2024-2025,1.0
1.15,14.368887261987869,1.3270732276021797e-05,3,1,0,31.42634868658017,19.517969214900553,190.16666666666666,0.4748677456669807,0.006608230066740217,0.0017469666085610045,0.00017573514189278257,9.940906467226931,0.05297579334281187,0.0013403889955012154,nc,2015-2016,1.0
1.15,10.012890582974553,9.861192893439254e-06,3,1,0,29.532947316693033,17.454303973419403,167.16666666666666,0.3842155675764411,0.003251896574615483,0.0015697284801935558,0.00034788441347487475,4.512212733287421,0.7368365961303137,0.25850637332917337,nc,2016-2017,1.0
1.15,8.067787053004379,1.9002508028880034e-05,3,1,0,31.19718335602326,12.177155496336193,214.66666666666666,0.3619237994298204,0.0028168086619449026,0.0014091037696176538,0.00047666706909915463,2.956159258663906,0.2596871579468281,0.1236159991888562,nc,2017-2018,1.0
