cell_id,W,phi,rho_level,ppf_flow,ppf_boxw,ess_frac,frac_in_box
174,6,2.0,0.6,0.4805,0.4805,1.0,1.0
175,10,2.0,0.6,0.0915,0.0915,1.0,1.0
176,6,10.0,0.6,0.3815,0.3815,1.0,1.0
177,10,10.0,0.6,0.208,0.208,1.0,1.0
178,6,50.0,0.6,0.2325,0.2325,1.0,1.0
179,10,50.0,0.6,0.2615,0.2615,1.0,1.0
180,6,2.0,0.6,0.064,0.064,1.0,1.0
181,10,2.0,0.6,0.022,0.022,1.0,1.0
182,6,10.0,0.6,0.191,0.191,1.0,1.0
183,10,10.0,0.6,0.005,0.005,1.0,1.0
184,6,50.0,0.6,0.102,0.102,1.0,1.0
185,10,50.0,0.6,0.007,0.007,1.0,1.0
186,6,2.0,0.6,0.433,0.433,1.0,1.0
187,10,2.0,0.6,0.1795,0.1795,1.0,1.0
188,6,10.0,0.6,0.4445,0.4445,1.0,1.0
189,10,10.0,0.6,0.0965,0.0965,1.0,1.0
190,6,50.0,0.6,0.494,0.494,1.0,1.0
191,10,50.0,0.6,0.282,0.282,1.0,1.0
